Metric,Result
Annotation properties metric,2.8716200096591935
Basic provenance metric,0.0
Classes per instances metric,1.0
Compatible datatype metric,0.8117717875886458
Deprecated terms metric,0.0
Dereferenceable uris metric,0.951364119708224
Descriptions per instance metric,0.49989235236272017
Serialization formats metric,set()
Entities with no type metric,0.07565296026384383
Evidence metric,2.3501399419284636
Extensional conciseness metric,0.0
Human readable license metric,False
Instances with multiple types metric,0.0
Instances with no description metric,0.5001076476372799
Instances with no name metric,0.49999709060439784
Instances with no synonyms metric,0.999982543626387
Machine license metric,False
Misplaced class property metric,0.0
Misused properties metric,0.0
Multiple languages metric,0.34991621281943863
Names per instance,0.5000029093956022
Relation per node,6.661548433239462
Reuse terms metric,0.9999294109342463
Synonyms per instance metric,1.7456373612945645e-05
Traceability of the data metric,0.0
Usage of undefined terms metric,1.7573379844211988e-05
Used vocabularies metric,0.0
Valid format metric,True
