count,dis,dis_label
84,http://purl.obolibrary.org/obo/MONDO_0044710,lip and oral cavity squamous cell carcinoma
98,http://purl.obolibrary.org/obo/MONDO_0018751,hereditary otorhinolaryngologic disease
14,http://purl.obolibrary.org/obo/MONDO_0010920,microtia
42,http://purl.obolibrary.org/obo/MONDO_0000179,Neu-Laxova syndrome
448,http://purl.obolibrary.org/obo/MONDO_0002917,disorder of pilosebaceous unit
350,http://purl.obolibrary.org/obo/MONDO_0024481,skin appendage disorder
322,http://purl.obolibrary.org/obo/MONDO_0000652,integumentary system benign neoplasm
210,http://purl.obolibrary.org/obo/MONDO_0000653,integumentary system cancer
7742,http://purl.obolibrary.org/obo/MONDO_0005093,skin disorder
42,http://purl.obolibrary.org/obo/MONDO_0002884,nail disorder
140,http://purl.obolibrary.org/obo/MONDO_0019296,subcutaneous tissue disorder
1064,http://purl.obolibrary.org/obo/MONDO_0045011,keratinization disease
14,http://purl.obolibrary.org/obo/MONDO_0007420,autosomal dominant deafness - onychodystrophy syndrome
14,http://purl.obolibrary.org/obo/MONDO_0007422,keratoderma hereditarium mutilans
14,http://purl.obolibrary.org/obo/MONDO_0010031,Sjogren-Larsson syndrome
14,http://purl.obolibrary.org/obo/MONDO_0010088,mucosulfatidosis
28,http://purl.obolibrary.org/obo/MONDO_0017269,X-linked ichthyosis syndrome
14,http://purl.obolibrary.org/obo/MONDO_0018453,familial atypical multiple mole melanoma syndrome
14,http://purl.obolibrary.org/obo/MONDO_0012089,ichthyosis prematurity syndrome
56,http://purl.obolibrary.org/obo/MONDO_0018891,familial tumoral calcinosis
28,http://purl.obolibrary.org/obo/MONDO_0024308,pseudoxanthoma elasticum (inherited or acquired)
14,http://purl.obolibrary.org/obo/MONDO_0012794,ANE syndrome
14,http://purl.obolibrary.org/obo/MONDO_0013268,frontonasal dysplasia with alopecia and genital anomaly
14,http://purl.obolibrary.org/obo/MONDO_0014574,peeling skin-leukonuchia-acral punctate keratoses-cheilitis-knuckle pads syndrome
14,http://purl.obolibrary.org/obo/MONDO_0014608,mandibulofacial dysostosis with alopecia
266,http://purl.obolibrary.org/obo/MONDO_0016175,cutis laxa
14,http://purl.obolibrary.org/obo/MONDO_0017571,Proteus-like syndrome
336,http://purl.obolibrary.org/obo/MONDO_0018940,congenital myasthenic syndrome
42,http://purl.obolibrary.org/obo/MONDO_0000507,inclusion body myopathy with Paget disease of bone and frontotemporal dementia
1428,http://purl.obolibrary.org/obo/MONDO_0000508,syndromic intellectual disability
14,http://purl.obolibrary.org/obo/MONDO_0000816,abdominal obesity-metabolic syndrome
28,http://purl.obolibrary.org/obo/MONDO_0007432,cerebral arteriopathy with subcortical infarcts and leukoencephalopathy
56,http://purl.obolibrary.org/obo/MONDO_0001083,Fanconi renotubular syndrome
56,http://purl.obolibrary.org/obo/MONDO_0001823,sick sinus syndrome
14,http://purl.obolibrary.org/obo/MONDO_0002010,FG syndrome
560,http://purl.obolibrary.org/obo/MONDO_0005377,nephrotic syndrome
364,http://purl.obolibrary.org/obo/MONDO_0002442,long QT syndrome
56,http://purl.obolibrary.org/obo/MONDO_0002457,Treacher-Collins syndrome
14,http://purl.obolibrary.org/obo/MONDO_0003157,disappearing bone disease
140,http://purl.obolibrary.org/obo/MONDO_0016463,syndromic agammaglobulinemia
140,http://purl.obolibrary.org/obo/MONDO_0018912,Cushing syndrome
70,http://purl.obolibrary.org/obo/MONDO_0015691,hypereosinophilic syndrome
252,http://purl.obolibrary.org/obo/MONDO_0100614,syndromic congenital heart disease
42,http://purl.obolibrary.org/obo/MONDO_0007029,branchio-oto-renal syndrome
14,http://purl.obolibrary.org/obo/MONDO_0021005,faciodigitogenital syndrome
14,http://purl.obolibrary.org/obo/MONDO_0007032,prune belly syndrome
1624,http://purl.obolibrary.org/obo/MONDO_0019287,ectodermal dysplasia syndrome
112,http://purl.obolibrary.org/obo/MONDO_0018965,Alport syndrome
14,http://purl.obolibrary.org/obo/MONDO_0007097,Finnish type amyloidosis
98,http://purl.obolibrary.org/obo/MONDO_0007113,Angelman syndrome
14,http://purl.obolibrary.org/obo/MONDO_0007123,ankyloblepharon filiforme adnatum-cleft palate syndrome
28,http://purl.obolibrary.org/obo/MONDO_0007142,Townes-Brocks syndrome
42,http://purl.obolibrary.org/obo/MONDO_0019354,Stickler syndrome
210,http://purl.obolibrary.org/obo/MONDO_0022800,type 2 collagenopathy
210,http://purl.obolibrary.org/obo/MONDO_0007191,Behcet disease
42,http://purl.obolibrary.org/obo/MONDO_0016085,Cole-Carpenter syndrome
14,http://purl.obolibrary.org/obo/MONDO_0007211,brachydactyly-arterial hypertension syndrome
42,http://purl.obolibrary.org/obo/MONDO_0016432,heart-hand syndrome
42,http://purl.obolibrary.org/obo/MONDO_0007216,brachydactyly type A2
14,http://purl.obolibrary.org/obo/MONDO_0007269,dilated cardiomyopathy 1A
14,http://purl.obolibrary.org/obo/MONDO_0007301,cerebrocostomandibular syndrome
980,http://purl.obolibrary.org/obo/MONDO_0019751,autoinflammatory syndrome
42,http://purl.obolibrary.org/obo/MONDO_0007318,Alagille syndrome
56,http://purl.obolibrary.org/obo/MONDO_0018637,familial chylomicronemia syndrome
14,http://purl.obolibrary.org/obo/MONDO_0007340,cleidocranial dysplasia 1
14,http://purl.obolibrary.org/obo/MONDO_0007352,renal coloboma syndrome
28,http://purl.obolibrary.org/obo/MONDO_0018878,branchiootic syndrome
84,http://purl.obolibrary.org/obo/MONDO_0016033,Cornelia de Lange syndrome
28,http://purl.obolibrary.org/obo/MONDO_0007404,Cri-du-chat syndrome
504,http://purl.obolibrary.org/obo/MONDO_0015338,syndromic craniosynostosis
56,http://purl.obolibrary.org/obo/MONDO_0007473,Duane retraction syndrome
42,http://purl.obolibrary.org/obo/MONDO_0007477,3-M syndrome
28,http://purl.obolibrary.org/obo/MONDO_0016516,Kenny-Caffey syndrome
14,http://purl.obolibrary.org/obo/MONDO_0010004,EEC syndrome
364,http://purl.obolibrary.org/obo/MONDO_0020066,Ehlers-Danlos syndrome
