graph,Formalisation,Structural accuracy,Consistency,Syntactic validity,Redundancy,Interpretability,Inference,Understandability,Trustworthiness,Provenance,Clustering,Interoperability,Versatility,Licensing,Accessibility,Reusability
assoc_d20labels,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,3.0,4.0,3.0,4.0,3.0,1.0,1.0,2.5,2.3333333333333335
assoc_d50labels,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,2.625,4.0,3.0,3.8333333333333335,3.0,1.0,1.0,2.5,2.3333333333333335
assoc_d90labels,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,2.0,4.0,3.0,3.5,3.0,1.0,1.0,2.5,2.3333333333333335
assoc_d20descriptions,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,3.125,4.0,3.0,4.166666666666667,3.0,1.0,1.0,2.5,2.3333333333333335
assoc_d50descriptions,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,3.0,4.0,3.0,4.166666666666667,3.0,1.0,1.0,2.5,2.3333333333333335
assoc_d90descriptions,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,2.75,4.0,3.0,4.166666666666667,3.0,1.0,1.0,2.5,2.3333333333333335
assoc_a20language,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,3.25,4.0,3.0,4.166666666666667,3.0,1.5,1.0,2.5,2.3333333333333335
assoc_a50language,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,3.25,4.0,3.0,4.166666666666667,3.0,2.0,1.0,2.5,2.3333333333333335
assoc_a90language,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,3.25,4.0,3.0,4.166666666666667,3.0,3.0,1.0,2.5,2.3333333333333335
assoc_a20wrongDT,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,3.25,4.0,3.0,4.166666666666667,3.0,1.0,1.0,2.5,2.3333333333333335
assoc_a50wrongDT,1.0,5.0,4.285714285714286,3.0,5.0,4.4,3.6,3.25,4.0,3.0,4.166666666666667,3.0,1.0,1.0,2.5,2.3333333333333335
assoc_a90wrongDT,1.0,5.0,4.0,2.3333333333333335,5.0,4.4,3.6,3.25,4.0,3.0,4.166666666666667,3.0,1.0,1.0,2.5,2.3333333333333335
