graph,Formalisation,Structural accuracy,Consistency,Syntactic validity,Redundancy,Interpretability,Inference,Understandability,Trustworthiness,Provenance,Clustering,Interoperability,Versatility,Licensing,Accessibility,Reusability
gene_pheno_human_d20labels,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,3.75,4.0,3.0,4.0,3.0,1.0,1.0,3.0,2.3333333333333335
gene_pheno_human_d50labels,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,3.25,4.0,3.0,3.8333333333333335,3.0,1.0,1.0,3.0,2.3333333333333335
gene_pheno_human_d90labels,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,2.5,4.0,3.0,3.5,3.0,1.0,1.0,3.0,2.3333333333333335
gene_pheno_human_d20descriptions,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,3.75,4.0,3.0,4.166666666666667,3.0,1.0,1.0,3.0,2.3333333333333335
gene_pheno_human_d50descriptions,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,3.375,4.0,3.0,4.0,3.0,1.0,1.0,3.0,2.3333333333333335
gene_pheno_human_d90descriptions,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,2.875,4.0,3.0,3.8333333333333335,3.0,1.0,1.0,3.0,2.3333333333333335
gene_pheno_human_a20language,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,4.0,4.0,3.0,4.166666666666667,3.0,1.0,1.0,3.0,2.3333333333333335
gene_pheno_human_a50language,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,4.0,4.0,3.0,4.166666666666667,3.0,2.0,1.0,3.0,2.3333333333333335
gene_pheno_human_a90language,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,4.0,4.0,3.0,4.166666666666667,3.0,3.0,1.0,3.0,2.3333333333333335
gene_pheno_human_a20wrongDT,1.0,5.0,4.571428571428571,3.6666666666666665,5.0,4.4,3.6,4.0,4.0,3.0,4.166666666666667,3.0,1.0,1.0,3.0,2.3333333333333335
gene_pheno_human_a50wrongDT,1.0,5.0,4.285714285714286,3.0,5.0,4.4,3.6,4.0,4.0,3.0,4.166666666666667,3.0,1.0,1.0,3.0,2.3333333333333335
gene_pheno_human_a90wrongDT,1.0,5.0,4.0,2.3333333333333335,5.0,4.4,3.6,4.0,4.0,3.0,4.166666666666667,3.0,1.0,1.0,3.0,2.3333333333333335
