Graph,Annotation richness metric,Basic provenance metric,Classes per instance metric,Compatible datatype metric,Deprecated terms metric,Dereferenceable uris metric,Descriptions per instance metric,Different serialisation formats metric,Entities with no type metric,Evidence metric,Extensional conciseness metric,Human readable license metric,Instances with multiple types metric,Instances with no description metric,Instances with no name metric,Instances with no synonyms metric,Machine license metric,Misplaced class property metric,Misused properties metric,Multiple languages metric,Names per instance metric,Relations per node metric,Reuse terms metric,Synonyms per instance metric,Traceability of the data metric,Usage of undefined terms metric,Used vocabularies metric,Valid format metric
pheno_d20labels,5,1,1,5,5,2,3,1,5,3,5,1,3,2,2,2,1,5,5,1,1,5,5,1,5,5,1,5
pheno_d50labels,5,1,1,5,5,2,3,1,5,3,5,1,3,2,1,2,1,5,5,1,1,5,5,1,5,5,1,5
pheno_d90labels,5,1,1,5,5,2,3,1,5,3,5,1,3,2,1,2,1,5,5,1,1,5,5,1,5,5,1,5
pheno_d20descriptions,5,1,1,5,5,2,2,1,5,3,5,1,3,2,2,2,1,5,5,1,2,5,5,1,5,5,1,5
pheno_d50descriptions,5,1,1,5,5,2,1,1,5,3,5,1,3,1,2,2,1,5,5,1,2,5,5,1,5,5,1,5
pheno_d90descriptions,5,1,1,5,5,2,1,1,5,3,5,1,3,1,2,2,1,5,5,1,2,5,5,1,5,5,1,5
pheno_a20language,5,1,1,5,5,2,3,1,5,3,5,1,3,2,2,2,1,5,5,2,2,5,5,1,5,5,1,5
pheno_a50language,5,1,1,5,5,2,3,1,5,3,5,1,3,2,2,2,1,5,5,3,2,5,5,1,5,5,1,5
pheno_a90language,5,1,1,5,5,2,3,1,5,3,5,1,3,2,2,2,1,5,5,5,2,5,5,1,5,5,1,5
pheno_a20wrongDT,5,1,1,4,5,2,3,1,5,3,5,1,3,2,2,2,1,5,5,1,2,5,5,1,5,5,1,5
pheno_a50wrongDT,5,1,1,3,5,2,3,1,5,3,5,1,3,2,2,2,1,5,5,1,2,5,5,1,5,5,1,5
pheno_a90wrongDT,5,1,1,1,5,2,3,1,5,3,5,1,3,2,2,2,1,5,5,1,2,5,5,1,5,5,1,5
