graph,Formalisation,Structural accuracy,Consistency,Syntactic validity,Redundancy,Interpretability,Inference,Understandability,Trustworthiness,Provenance,Clustering,Interoperability,Versatility,Licensing,Accessibility,Reusability
pheno_d20labels,1.0,5.0,4.142857142857143,3.6666666666666665,5.0,3.8,3.0,2.125,4.0,3.0,3.3333333333333335,3.0,1.0,1.0,2.25,2.3333333333333335
pheno_d50labels,1.0,5.0,4.142857142857143,3.6666666666666665,5.0,3.8,3.0,2.0,4.0,3.0,3.3333333333333335,3.0,1.0,1.0,2.25,2.3333333333333335
pheno_d90labels,1.0,5.0,4.142857142857143,3.6666666666666665,5.0,3.8,3.0,2.0,4.0,3.0,3.3333333333333335,3.0,1.0,1.0,2.25,2.3333333333333335
pheno_d20descriptions,1.0,5.0,4.142857142857143,3.6666666666666665,5.0,3.8,3.0,2.125,4.0,3.0,3.3333333333333335,3.0,1.0,1.0,2.25,2.3333333333333335
pheno_d50descriptions,1.0,5.0,4.142857142857143,3.6666666666666665,5.0,3.8,3.0,1.875,4.0,3.0,3.3333333333333335,3.0,1.0,1.0,2.25,2.3333333333333335
pheno_d90descriptions,1.0,5.0,4.142857142857143,3.6666666666666665,5.0,3.8,3.0,1.875,4.0,3.0,3.3333333333333335,3.0,1.0,1.0,2.25,2.3333333333333335
pheno_a20language,1.0,5.0,4.142857142857143,3.6666666666666665,5.0,3.8,3.0,2.25,4.0,3.0,3.3333333333333335,3.0,1.5,1.0,2.25,2.3333333333333335
pheno_a50language,1.0,5.0,4.142857142857143,3.6666666666666665,5.0,3.8,3.0,2.25,4.0,3.0,3.3333333333333335,3.0,2.0,1.0,2.25,2.3333333333333335
pheno_a90language,1.0,5.0,4.142857142857143,3.6666666666666665,5.0,3.8,3.0,2.25,4.0,3.0,3.3333333333333335,3.0,3.0,1.0,2.25,2.3333333333333335
pheno_a20wrongDT,1.0,5.0,4.0,3.3333333333333335,5.0,3.8,3.0,2.25,4.0,3.0,3.3333333333333335,3.0,1.0,1.0,2.25,2.3333333333333335
pheno_a50wrongDT,1.0,5.0,3.857142857142857,3.0,5.0,3.8,3.0,2.25,4.0,3.0,3.3333333333333335,3.0,1.0,1.0,2.25,2.3333333333333335
pheno_a90wrongDT,1.0,5.0,3.5714285714285716,2.3333333333333335,5.0,3.8,3.0,2.25,4.0,3.0,3.3333333333333335,3.0,1.0,1.0,2.25,2.3333333333333335
