graph,Structural,Functional adequacy,Compatibility,Transferability,Operability,Reliability,Maintainability
gene_pheno_nervous_d20labels,3.93968253968254,3.6950000000000003,3.0,1.0,1.0,3.0,2.333333333333333
gene_pheno_nervous_d50labels,3.93968253968254,3.5616666666666665,3.0,1.0,1.0,3.0,2.333333333333333
gene_pheno_nervous_d90labels,3.93968253968254,3.345,3.0,1.0,1.0,3.0,2.333333333333333
gene_pheno_nervous_d20descriptions,3.93968253968254,3.728333333333333,3.0,1.0,1.0,3.0,2.333333333333333
gene_pheno_nervous_d50descriptions,3.93968253968254,3.62,3.0,1.0,1.0,3.0,2.333333333333333
gene_pheno_nervous_d90descriptions,3.93968253968254,3.486666666666667,3.0,1.0,1.0,3.0,2.333333333333333
gene_pheno_nervous_a20language,3.93968253968254,3.7783333333333333,3.0,1.0,1.0,3.0,2.333333333333333
gene_pheno_nervous_a50language,3.93968253968254,3.7783333333333333,3.0,2.0,1.0,3.0,2.333333333333333
gene_pheno_nervous_a90language,3.93968253968254,3.7783333333333333,3.0,3.0,1.0,3.0,2.333333333333333
gene_pheno_nervous_a20wrongDT,3.93968253968254,3.7783333333333333,3.0,1.0,1.0,3.0,2.333333333333333
gene_pheno_nervous_a50wrongDT,3.7809523809523804,3.7783333333333333,3.0,1.0,1.0,3.0,2.333333333333333
gene_pheno_nervous_a90wrongDT,3.6222222222222222,3.7783333333333333,3.0,1.0,1.0,3.0,2.333333333333333
