graph,Structural,Functional adequacy,Compatibility,Transferability,Operability,Reliability,Maintainability
complete_d20descriptions,3.93968253968254,3.703333333333333,3.0,1.0,1.0,3.0,2.333333333333333
complete_d50descriptions,3.93968253968254,3.595,3.0,1.0,1.0,3.0,2.333333333333333
complete_d90descriptions,3.93968253968254,3.461666666666667,3.0,1.0,1.0,3.0,2.333333333333333
complete_d20labels,3.93968253968254,3.62,3.0,1.0,1.0,3.0,2.333333333333333
complete_d50labels,3.93968253968254,3.5116666666666667,3.0,1.0,1.0,3.0,2.333333333333333
complete_d90labels,3.93968253968254,3.2950000000000004,3.0,1.0,1.0,3.0,2.333333333333333
complete_a20language,3.93968253968254,3.728333333333333,3.0,1.0,1.0,3.0,2.333333333333333
complete_a50language,3.93968253968254,3.728333333333333,3.0,2.0,1.0,3.0,2.333333333333333
complete_a90language,3.93968253968254,3.728333333333333,3.0,3.0,1.0,3.0,2.333333333333333
complete_a20wrongDT,3.93968253968254,3.728333333333333,3.0,1.0,1.0,3.0,2.333333333333333
complete_a50wrongDT,3.7809523809523804,3.728333333333333,3.0,1.0,1.0,3.0,2.333333333333333
complete_a90wrongDT,3.6222222222222222,3.728333333333333,3.0,1.0,1.0,3.0,2.333333333333333
