graph,Structural,Functional adequacy,Compatibility,Transferability,Operability,Reliability,Maintainability
assoc_d20labels,3.93968253968254,3.5200000000000005,3.0,1.0,1.0,2.5,2.333333333333333
assoc_d50labels,3.93968253968254,3.4116666666666666,3.0,1.0,1.0,2.5,2.333333333333333
assoc_d90labels,3.93968253968254,3.22,3.0,1.0,1.0,2.5,2.333333333333333
assoc_d20descriptions,3.93968253968254,3.578333333333333,3.0,1.0,1.0,2.5,2.333333333333333
assoc_d50descriptions,3.93968253968254,3.5533333333333332,3.0,1.0,1.0,2.5,2.333333333333333
assoc_d90descriptions,3.93968253968254,3.503333333333333,3.0,1.0,1.0,2.5,2.333333333333333
assoc_a20language,3.93968253968254,3.603333333333333,3.0,1.5,1.0,2.5,2.333333333333333
assoc_a50language,3.93968253968254,3.603333333333333,3.0,2.0,1.0,2.5,2.333333333333333
assoc_a90language,3.93968253968254,3.603333333333333,3.0,3.0,1.0,2.5,2.333333333333333
assoc_a20wrongDT,3.93968253968254,3.603333333333333,3.0,1.0,1.0,2.5,2.333333333333333
assoc_a50wrongDT,3.7809523809523804,3.603333333333333,3.0,1.0,1.0,2.5,2.333333333333333
assoc_a90wrongDT,3.6222222222222222,3.603333333333333,3.0,1.0,1.0,2.5,2.333333333333333
