graph,Structural,Functional adequacy,Compatibility,Transferability,Operability,Reliability,Maintainability
complete_d20descriptions,3.93968253968254,3.72,3.0,1.0,1.0,3.0,2.333333333333333
complete_d50descriptions,3.93968253968254,3.6450000000000005,3.0,1.0,1.0,3.0,2.333333333333333
complete_d90descriptions,3.93968253968254,3.5700000000000003,3.0,1.0,1.0,3.0,2.333333333333333
complete_d20labels,3.93968253968254,3.6700000000000004,3.0,1.0,1.0,3.0,2.333333333333333
complete_d50labels,3.93968253968254,3.586666666666667,3.0,1.0,1.0,3.0,2.333333333333333
complete_d90labels,3.93968253968254,3.486666666666667,3.0,1.0,1.0,3.0,2.333333333333333
complete_a20language,3.93968253968254,3.745,3.0,1.0,1.0,3.0,2.333333333333333
complete_a50language,3.93968253968254,3.745,3.0,2.0,1.0,3.0,2.333333333333333
complete_a90language,3.93968253968254,3.745,3.0,3.0,1.0,3.0,2.333333333333333
complete_a20wrongDT,3.93968253968254,3.745,3.0,1.0,1.0,3.0,2.333333333333333
complete_a50wrongDT,3.7809523809523804,3.745,3.0,1.0,1.0,3.0,2.333333333333333
complete_a90wrongDT,3.6222222222222222,3.745,3.0,1.0,1.0,3.0,2.333333333333333
