Metric,Result
Annotation properties metric,1.4805200043020004
Basic provenance metric,0.0
Classes per instances metric,1.0
Compatible datatype metric,1.0
Deprecated terms metric,0.0
Dereferenceable uris metric,0.9997560840401353
Descriptions per instance metric,0.311316949881695
Serialization formats metric,set()
Entities with no type metric,0.30064503811588866
Evidence codes metric,0.0
Evidence metric,0.0
Extensional conciseness metric,0.0
Human readable license metric,False
Instances with multiple types metric,0.0
Instances with no description metric,0.688683050118305
Instances with no name metric,0
Instances with no synonyms metric,0.8919660141966014
Machine license metric,False
Misplaced class property metric,2.8690858209778726e-05
Misused properties metric,0.0
Multiple languages metric,0.0
Names per instance,1.0
Relation per node,4.054734003940682
Reuse terms metric,0.9997404844290657
Synonyms per instance metric,0.16920305442030545
Traceability of the data metric,0.0
Usage of undefined terms metric,9.30440284342551e-06
Used vocabularies metric,0.0
Valid format metric,True
