Metric,Result
Annotation properties metric,1.4379810971450844
Basic provenance metric,0.0
Classes per instances metric,1.0
Compatible datatype metric,1.0
Deprecated terms metric,0.0
Dereferenceable uris metric,0.8349294961258963
Descriptions per instance metric,0.3381077657604989
Serialization formats metric,set()
Entities with no type metric,0.332615083251714
Evidence codes metric,0.0
Evidence metric,0.0
Extensional conciseness metric,0.0
Human readable license metric,False
Instances with multiple types metric,0.0
Instances with no description metric,0.6618922342395012
Instances with no name metric,0.0
Instances with no synonyms metric,0.9192243983240768
Machine license metric,False
Misplaced class property metric,0.00020693717069132934
Misused properties metric,0.0
Multiple languages metric,0.0
Names per instance,1.0
Relation per node,4.297605974083022
Reuse terms metric,0.9982698961937716
Synonyms per instance metric,0.0998733313845854
Traceability of the data metric,0.0
Usage of undefined terms metric,6.7425200168563e-05
Used vocabularies metric,0.0
Valid format metric,True
