Metric,Result
Annotation properties metric,1.4315173963709007
Basic provenance metric,0.0
Classes per instances metric,1.0
Compatible datatype metric,1.0
Deprecated terms metric,0.0
Dereferenceable uris metric,0.9987009971117142
Descriptions per instance metric,0.37751789578824707
Serialization formats metric,set()
Entities with no type metric,0.39819204499799116
Evidence codes metric,0.0
Evidence metric,0.0
Extensional conciseness metric,0.0
Human readable license metric,False
Instances with multiple types metric,0.0
Instances with no description metric,0.622482104211753
Instances with no name metric,0.0
Instances with no synonyms metric,0.9548235392042617
Machine license metric,False
Misplaced class property metric,3.69285659501578e-05
Misused properties metric,0.0
Multiple languages metric,0.0
Names per instance,1.0
Relation per node,4.420533899054186
Reuse terms metric,0.9996688193409505
Synonyms per instance metric,0.05399950058265357
Traceability of the data metric,0.0
Usage of undefined terms metric,1.1981931247678501e-05
Used vocabularies metric,0.0
Valid format metric,True
