Metric,Result
Annotation properties metric,3.0902071423268245
Basic provenance metric,0.0
Classes per instances metric,1.0008785606454327
Compatible datatype metric,0.0
Deprecated terms metric,0.0
Dereferenceable uris metric,0.9998257681880588
Descriptions per instance metric,0.48602964832825996
Serialization formats metric,set()
Entities with no type metric,0.0
Evidence codes metric,0.0
Evidence metric,0.4856030166285467
Extensional conciseness metric,0.0
Human readable license metric,False
Instances with multiple types metric,0.0006063305862845546
Instances with no description metric,0.5139703516717401
Instances with no name metric,0
Instances with no synonyms metric,0.00012374093597643972
Machine license metric,False
Misplaced class property metric,7.844970824553504e-06
Misused properties metric,0.0
Multiple languages metric,0.0
Names per instance,1.0008785606454327
Relation per node,5.912651273294231
Reuse terms metric,0.00017816238228556883
Synonyms per instance metric,1.6032989333531318
Traceability of the data metric,0.0
Usage of undefined terms metric,8.360323243537888e-06
Used vocabularies metric,0.0
Valid format metric,True
