graph,Structural,Functional adequacy,Compatibility,Transferability,Operability,Reliability,Maintainability
crm2tfac,3.711111111111111,2.7933333333333334,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phen,3.7682539682539686,2.1916666666666664,3.0,1.0,1.0,2.0,1.6666666666666667
crm2gene,3.711111111111111,2.21,3.0,1.0,1.0,2.0,1.6666666666666667
crm,3.8825396825396825,2.788333333333333,3.0,1.0,1.0,2.0,1.6666666666666667
all,3.8825396825396825,2.788333333333333,3.0,1.0,1.0,2.0,1.6666666666666667
