graph,Formalisation,Structural accuracy,Consistency,Syntactic validity,Redundancy,Interpretability,Inference,Understandability,Trustworthiness,Provenance,Clustering,Interoperability,Versatility,Licensing,Accessibility,Reusability
crmgraph_a20language,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,3.75,2.0,1.0,4.0,3.0,1.5,1.0,2.0,1.6666666666666667
crmgraph_a20wrongDT,1.0,5.0,4.285714285714286,3.3333333333333335,5.0,4.2,3.4,3.75,2.0,1.0,4.0,3.0,1.0,1.0,2.0,1.6666666666666667
crmgraph_a50language,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,3.75,2.0,1.0,4.0,3.0,2.0,1.0,2.0,1.6666666666666667
crmgraph_a50wrongDT,1.0,5.0,4.142857142857143,3.0,5.0,4.2,3.4,3.75,2.0,1.0,4.0,3.0,1.0,1.0,2.0,1.6666666666666667
crmgraph_a90language,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,3.75,2.0,1.0,4.0,3.0,3.0,1.0,2.0,1.6666666666666667
crmgraph_a90wrongDT,1.0,5.0,3.857142857142857,2.3333333333333335,5.0,4.2,3.4,3.75,2.0,1.0,4.0,3.0,1.0,1.0,2.0,1.6666666666666667
crmgraph_d20descriptions,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,3.375,2.0,1.0,3.8333333333333335,3.0,1.0,1.0,2.0,1.6666666666666667
crmgraph_d20labels,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,3.5,2.0,1.0,3.8333333333333335,3.0,1.0,1.0,2.0,1.6666666666666667
crmgraph_d50descriptions,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,3.0,2.0,1.0,3.6666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
crmgraph_d50labels,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,3.0,2.0,1.0,3.6666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
crmgraph_d90descriptions,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,2.25,2.0,1.0,3.3333333333333335,3.0,1.0,1.0,2.0,1.6666666666666667
crmgraph_d90labels,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,2.25,2.0,1.0,3.3333333333333335,3.0,1.0,1.0,2.0,1.6666666666666667
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
