Graph,Formalisation,Structural accuracy,Consistency,Syntactic validity,Redundancy,Interpretability,Inference,Understandability,Trustworthiness,Provenance,Clustering,Interoperability,Versatility,Licensing,Accessibility,Reusability
crm2phengraph_a20language,1.0,5.0,4.142857142857143,3.6666666666666665,5.0,3.8,3.0,3.125,1.0,1.0,2.8333333333333335,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phengraph_a20wrongDT,1.0,5.0,4.0,3.3333333333333335,5.0,3.8,3.0,3.125,1.0,1.0,2.8333333333333335,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phengraph_a50language,1.0,5.0,4.142857142857143,3.6666666666666665,5.0,3.8,3.0,3.125,1.0,1.0,2.8333333333333335,3.0,2.0,1.0,2.0,1.6666666666666667
crm2phengraph_a50wrongDT,1.0,5.0,3.857142857142857,3.0,5.0,3.8,3.0,3.125,1.0,1.0,2.8333333333333335,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phengraph_a90language,1.0,5.0,4.142857142857143,3.6666666666666665,5.0,3.8,3.0,3.125,1.0,1.0,2.8333333333333335,3.0,3.0,1.0,2.0,1.6666666666666667
crm2phengraph_a90wrongDT,1.0,5.0,3.5714285714285716,2.3333333333333335,5.0,3.8,3.0,3.125,1.0,1.0,2.8333333333333335,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phengraph_d20descriptions,1.0,5.0,4.142857142857143,3.6666666666666665,5.0,3.8,3.0,2.75,1.0,1.0,2.8333333333333335,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phengraph_d20labels,1.0,5.0,4.142857142857143,3.6666666666666665,5.0,3.8,3.0,2.875,1.0,1.0,2.8333333333333335,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phengraph_d50descriptions,1.0,5.0,4.142857142857143,3.6666666666666665,5.0,3.8,3.0,2.5,1.0,1.0,2.8333333333333335,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phengraph_d50labels,1.0,5.0,4.142857142857143,3.6666666666666665,5.0,3.8,3.0,2.5,1.0,1.0,2.8333333333333335,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phengraph_d90descriptions,1.0,5.0,4.142857142857143,3.6666666666666665,5.0,3.8,3.0,2.0,1.0,1.0,2.8333333333333335,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phengraph_d90labels,1.0,5.0,4.142857142857143,3.6666666666666665,5.0,3.8,3.0,2.0,1.0,1.0,2.8333333333333335,3.0,1.0,1.0,2.0,1.6666666666666667
