Graph,Annotation properties metric,Basic provenance metric,Classes per instances metric,Compatible datatype metric,Deprecated terms metric,Dereferenceable uris metric,Descriptions per instance metric,Entities with no type metric,Evidence metric,Extensional conciseness metric,Human readable license metric,Instances with multiple types metric,Instances with no description metric,Instances with no name metric,Instances with no synonyms metric,Machine license metric,Misplaced class property metric,Misused properties metric,Multiple languages metric,Names per instance,Relation per node,Reuse terms metric,Serialization formats metric,Synonyms per instance metric,Traceability of the data metric,Usage of undefined terms metric,Used vocabularies metric,Valid format metric
allgraph_a20language,3.871503633835107,0.0,1.0,1.0,0.0,0.9581915849528944,0.999778885934236,0.07565296026384383,2.3501399419284636,0.0,False,0.0,0.0002211140657639782,0.0,0.999982543626387,False,0.0,0.0,0.20041894565343885,1.0,7.621703321264136,0.9999294109342463,set(),1.7456373612945645e-05,0.0,1.5609360152815637e-05,0.0,True
allgraph_a20wrongDT,3.871503633835107,0.0,1.0,0.799211910163385,0.0,0.9878086583246029,0.999778885934236,0.07565296026384383,2.3501399419284636,0.0,False,0.0,0.0002211140657639782,0.0,0.999982543626387,False,0.0,0.0,0.0,1.0,7.621703321264136,0.9999294109342463,set(),1.7456373612945645e-05,0.0,1.5609360152815637e-05,0.0,True
allgraph_a50language,3.871503633835107,0.0,1.0,1.0,0.0,0.9514112056754286,0.999778885934236,0.07565296026384383,2.3501399419284636,0.0,False,0.0,0.0002211140657639782,0.0,0.999982543626387,False,0.0,0.0,0.49877807517747,1.0,7.621703321264136,0.9999294109342463,set(),1.7456373612945645e-05,0.0,1.5609360152815637e-05,0.0,True
allgraph_a50wrongDT,3.871503633835107,0.0,1.0,0.4991048087144008,0.0,0.9577678112480528,0.999778885934236,0.07565296026384383,2.3501399419284636,0.0,False,0.0,0.0002211140657639782,0.0,0.999982543626387,False,0.0,0.0,0.0,1.0,7.621703321264136,0.9999294109342463,set(),1.7456373612945645e-05,0.0,1.5609360152815637e-05,0.0,True
allgraph_a90language,3.871503633835107,0.0,1.0,1.0,0.0,0.9511953949924074,0.999778885934236,0.07565296026384383,2.3501399419284636,0.0,False,0.0,0.0002211140657639782,0.0,0.999982543626387,False,0.0,0.0,0.8997148842080763,1.0,7.621703321264136,0.9999294109342463,set(),1.7456373612945645e-05,0.0,1.5609360152815637e-05,0.0,True
allgraph_a90wrongDT,3.871503633835107,0.0,1.0,0.09977514723937475,0.0,0.9866472044668888,0.999778885934236,0.07565296026384383,2.3501399419284636,0.0,False,0.0,0.0002211140657639782,0.0,0.999982543626387,False,0.0,0.0,0.0,1.0,7.621703321264136,0.9999294109342463,set(),1.7456373612945645e-05,0.0,1.5609360152815637e-05,0.0,True
allgraph_d20descriptions,3.6715525116812233,0.0,1.0,1.0,0.0,0.9512738716044151,0.7998277637803523,0.07565296026384383,2.3501399419284636,0.0,False,0.0,0.20017223621964772,0.0,0.999982543626387,False,0.0,0.0,0.0,1.0,7.4296969290599435,0.9999294109342463,set(),1.7456373612945645e-05,0.0,1.5966194244719182e-05,0.0,True
allgraph_d20labels,3.671505961351589,0.0,1.0,1.0,0.0,0.9511561566864035,0.999778885934236,0.07565296026384383,2.3501399419284636,0.0,False,0.0,0.0002211140657639782,0.19999767248351827,0.999982543626387,False,0.0,0.0,0.0,0.8000023275164817,7.429652228331322,0.9999294109342463,set(),1.7456373612945645e-05,0.0,1.596627921829097e-05,0.0,True
allgraph_d50descriptions,3.3716171002635913,0.0,1.0,1.0,0.0,0.9512895669268167,0.49989235236272017,0.07565296026384383,2.3501399419284636,0.0,False,0.0,0.5001076476372799,0.0,0.999982543626387,False,0.0,0.0,0.0,1.0,7.141678959367038,0.9999294109342463,set(),1.7456373612945645e-05,0.0,1.653313860970082e-05,0.0,True
allgraph_d50labels,3.3715065432307094,0.0,1.0,1.0,0.0,0.9512699477738147,0.999778885934236,0.07565296026384383,2.3501399419284636,0.0,False,0.0,0.0002211140657639782,0.49999709060439784,0.999982543626387,False,0.0,0.0,0.0,0.5000029093956022,7.141572795136561,0.9999294109342463,set(),1.7456373612945645e-05,0.0,1.653335501039879e-05,0.0,True
allgraph_d90descriptions,2.971703218373415,0.0,1.0,1.0,0.0,0.9579286883026686,0.09997847047254403,0.07565296026384383,2.3501399419284636,0.0,False,0.0,0.900021529527456,0.0,0.999982543626387,False,0.0,0.0,0.0,1.0,6.757654999776497,0.9999294109342463,set(),1.7456373612945645e-05,0.0,1.7354808945247024e-05,0.0,True
allgraph_d90labels,2.971505379472468,0.0,1.0,1.0,0.0,0.9575049145978269,0.999778885934236,0.07565296026384383,2.3501399419284636,0.0,False,0.0,0.0002211140657639782,0.8999982543626387,0.999982543626387,False,0.0,0.0,0.0,0.10000174563736129,6.757465021679853,0.9999294109342463,set(),1.7456373612945645e-05,0.0,1.735523564071191e-05,0.0,True
