Graph,Annotation richness metric,Basic provenance metric,Classes per instance metric,Compatible datatype metric,Deprecated terms metric,Dereferenceable uris metric,Descriptions per instance metric,Different serialisation formats metric,Entities with no type metric,Evidence metric,Extensional conciseness metric,Human readable license metric,Instances with multiple types metric,Instances with no description metric,Instances with no name metric,Instances with no synonyms metric,Machine license metric,Misplaced class property metric,Misused properties metric,Multiple languages metric,Names per instance metric,Relations per node metric,Reuse terms metric,Synonyms per instance metric,Traceability of the data metric,Usage of undefined terms metric,Used vocabularies metric,Valid format metric
assoc_d20labels,4.9992475545523,0,1.33408577878104,1,0,0.517241379310345,0.134687735139202,set(),0,0,0,False,0.334085778781038,0.865312264860798,0.531978931527464,0.510158013544018,False,0,0,0,0.941309255079007,10.7622272385252,0.848484848484849,3.92325056433409,1,0.00164447509415946,0,True
assoc_d50labels,4.64559819413093,0,1.33408577878104,1,0,0.517241379310345,0.134687735139202,set(),0,0,0,False,0.334085778781038,0.865312264860798,0.63130173062453,0.510158013544018,False,0,0,0,0.587659894657637,10.4085778781038,0.848484848484849,3.92325056433409,1,0.00168652412817583,0,True
assoc_d90labels,4.17682468021068,0,1.33408577878104,1,0,0.517241379310345,0.134687735139202,set(),0,0,0,False,0.334085778781038,0.865312264860798,0.895410082768999,0.510158013544018,False,0,0,0,0.118886380737397,9.9398043641836,0.848484848484849,3.92325056433409,1,0.00174569208244172,0,True
assoc_d20descriptions,5.20617005267118,0,1.33408577878104,1,0,0.517241379310345,0.108352144469526,set(),0,0,0,False,0.334085778781038,0.891647855530474,0.493604213694507,0.510158013544018,False,0,0,0,1.17456734386757,10.9691497366441,0.848484848484849,3.92325056433409,1,0.00162083028338388,0,True
assoc_d50descriptions,5.16553799849511,0,1.33408577878104,1,0,0.517241379310345,0.0677200902934537,set(),0,0,0,False,0.334085778781038,0.932279909706546,0.493604213694507,0.510158013544018,False,0,0,0,1.17456734386757,10.928517682468,0.848484848484849,3.92325056433409,1,0.00162541946308725,0,True
assoc_d90descriptions,5.11136192626035,0,1.33408577878104,1,0,0.517241379310345,0.0135440180586907,set(),0,0,0,False,0.334085778781038,0.986455981941309,0.493604213694507,0.510158013544018,False,0,0,0,1.17456734386757,10.8743416102333,0.848484848484849,3.92325056433409,1,0.00163157894736842,0,True
assoc_a20language,5.23250564334086,0,1.33408577878104,1,0,0.517241379310345,0.134687735139202,set(),0,0,0,False,0.334085778781038,0.865312264860798,0.493604213694507,0.510158013544018,False,0,0,0.202509225092251,1.17456734386757,10.9954853273138,0.848484848484849,3.92325056433409,1,0.00161786963102135,0,True
assoc_a50language,5.23250564334086,0,1.33408577878104,1,0,0.517241379310345,0.134687735139202,set(),0,0,0,False,0.334085778781038,0.865312264860798,0.493604213694507,0.510158013544018,False,0,0,0.49239852398524,1.17456734386757,10.9954853273138,0.848484848484849,3.92325056433409,1,0.00161786963102135,0,True
assoc_a90language,5.23250564334086,0,1.33408577878104,1,0,0.517241379310345,0.134687735139202,set(),0,0,0,False,0.334085778781038,0.865312264860798,0.493604213694507,0.510158013544018,False,0,0,0.89520295202952,1.17456734386757,10.9954853273138,0.848484848484849,3.92325056433409,1,0.00161786963102135,0,True
assoc_a20wrongDT,5.23250564334086,0,1.33408577878104,0.801721630896295,0,0.517241379310345,0.134687735139202,set(),0,0,0,False,0.334085778781038,0.865312264860798,0.493604213694507,0.510158013544018,False,0,0,0,1.17456734386757,10.9954853273138,0.848484848484849,3.92325056433409,1,0.00161786963102135,0,True
assoc_a50wrongDT,5.23250564334086,0,1.33408577878104,0.499563775955331,0,0.517241379310345,0.134687735139202,set(),0,0,0,False,0.334085778781038,0.865312264860798,0.493604213694507,0.510158013544018,False,0,0,0,1.17456734386757,10.9954853273138,0.848484848484849,3.92325056433409,1,0.00161786963102135,0,True
assoc_a90wrongDT,5.23250564334086,0,1.33408577878104,0.0939335776187984,0,0.517241379310345,0.134687735139202,set(),0,0,0,False,0.334085778781038,0.865312264860798,0.493604213694507,0.510158013544018,False,0,0,0,1.17456734386757,10.9954853273138,0.848484848484849,3.92325056433409,1,0.00161786963102135,0,True
