count,dis,dis_label
25690,http://purl.obolibrary.org/obo/MONDO_0024322,disorder of glycosylation
3751,http://purl.obolibrary.org/obo/MONDO_0700003,obstetric disorder
24564,http://purl.obolibrary.org/obo/MONDO_0700007,idiopathic disease
23106,http://purl.obolibrary.org/obo/MONDO_0005137,nutritional disorder
4241722,http://purl.obolibrary.org/obo/MONDO_7770009,disease of genetic or genomic mechanism
168203,http://purl.obolibrary.org/obo/MONDO_0045024,cancer or benign tumor
91744,http://purl.obolibrary.org/obo/MONDO_7770010,disease of primarily extrinsic mechanism
14,http://purl.obolibrary.org/obo/MONDO_0025484,simian acquired immunodeficiency syndrome
14,http://purl.obolibrary.org/obo/MONDO_0700049,"infectious disease, non-human animal"
586,http://purl.obolibrary.org/obo/MONDO_0011953,familial acute necrotizing encephalopathy
824,http://purl.obolibrary.org/obo/MONDO_0001517,dysentery
14,http://purl.obolibrary.org/obo/MONDO_0000341,paralytic poliomyelitis
317,http://purl.obolibrary.org/obo/MONDO_0017416,postpoliomyelitis syndrome
775,http://purl.obolibrary.org/obo/MONDO_0006502,acute respiratory distress syndrome
357,http://purl.obolibrary.org/obo/MONDO_0006932,pulmonary edema
14,http://purl.obolibrary.org/obo/MONDO_0005634,acute hemorrhagic conjunctivitis
7816,http://purl.obolibrary.org/obo/MONDO_0020067,infectious encephalitis
797,http://purl.obolibrary.org/obo/MONDO_0015588,limbic encephalitis
844,http://purl.obolibrary.org/obo/MONDO_0020640,autoimmune encephalitis
901,http://purl.obolibrary.org/obo/MONDO_0021081,anti-NMDA receptor encephalitis
94,http://purl.obolibrary.org/obo/MONDO_0004967,acute lymphoblastic leukemia
1605,http://purl.obolibrary.org/obo/MONDO_0018874,acute myeloid leukemia
16,http://purl.obolibrary.org/obo/MONDO_0700060,"leukemia, acute, X-linked"
28,http://purl.obolibrary.org/obo/MONDO_0005722,croup
14,http://purl.obolibrary.org/obo/MONDO_0006015,Waterhouse-Friderichsen syndrome
464,http://purl.obolibrary.org/obo/MONDO_0013111,acute infantile liver failure due to synthesis defect of mtDNA-encoded proteins
91161,http://purl.obolibrary.org/obo/MONDO_0002259,gonadal disorder
459,http://purl.obolibrary.org/obo/MONDO_0000193,cortisone reductase deficiency
9426,http://purl.obolibrary.org/obo/MONDO_0006054,reproductive system neoplasm
14546,http://purl.obolibrary.org/obo/MONDO_0003150,male reproductive system disorder
27097,http://purl.obolibrary.org/obo/MONDO_0002263,female reproductive system disorder
20086,http://purl.obolibrary.org/obo/MONDO_0003381,pituitary gland disorder
35555,http://purl.obolibrary.org/obo/MONDO_0005047,infertility disorder
1296,http://purl.obolibrary.org/obo/MONDO_0021681,sexually transmitted disease
58,http://purl.obolibrary.org/obo/MONDO_0005345,hypospadias
14,http://purl.obolibrary.org/obo/MONDO_0006736,dysplasia of cervix
354,http://purl.obolibrary.org/obo/MONDO_0007690,aromatase excess syndrome
832,http://purl.obolibrary.org/obo/MONDO_0007698,hand-foot-genital syndrome
302,http://purl.obolibrary.org/obo/MONDO_0007795,mullerian duct anomalies-limb anomalies syndrome
914,http://purl.obolibrary.org/obo/MONDO_0008305,Currarino triad
204,http://purl.obolibrary.org/obo/MONDO_0008636,double uterus-hemivagina-renal agenesis syndrome
