dis,dis_label,associations_count,phenotypes_count
http://purl.obolibrary.org/obo/MONDO_0000251,diarrheal disease secondary to altered bowel motility,,14
http://purl.obolibrary.org/obo/MONDO_0000252,inflammatory diarrhea,,824
http://purl.obolibrary.org/obo/MONDO_0000254,cutaneous mycosis,,771
http://purl.obolibrary.org/obo/MONDO_0000255,subcutaneous mycosis,,561
http://purl.obolibrary.org/obo/MONDO_0000256,systemic mycosis,,1292
http://purl.obolibrary.org/obo/MONDO_0000257,acute diarrhea,,824
http://purl.obolibrary.org/obo/MONDO_0000263,laryngotracheitis,,28
http://purl.obolibrary.org/obo/MONDO_0000266,pulmonary aspergilloma,,14
http://purl.obolibrary.org/obo/MONDO_0000270,lower respiratory tract disorder,756,28098
http://purl.obolibrary.org/obo/MONDO_0000308,primary systemic mycosis,,1292
http://purl.obolibrary.org/obo/MONDO_0000313,hypophosphatemia,,14
http://purl.obolibrary.org/obo/MONDO_0000314,primary bacterial infectious disease,14,15982
http://purl.obolibrary.org/obo/MONDO_0000315,commensal bacterial infectious disease,,1104
http://purl.obolibrary.org/obo/MONDO_0000316,opportunistic bacterial infectious disease,,884
http://purl.obolibrary.org/obo/MONDO_0000321,typhoidal tularemia,,14
http://purl.obolibrary.org/obo/MONDO_0000328,hyperphosphatemia,,14
http://purl.obolibrary.org/obo/MONDO_0000333,early congenital syphilis,,98
http://purl.obolibrary.org/obo/MONDO_0000334,multinodular goiter,28,285
http://purl.obolibrary.org/obo/MONDO_0000335,parenchymatous neurosyphilis,,28
http://purl.obolibrary.org/obo/MONDO_0000336,meningovascular neurosyphilis,,98
http://purl.obolibrary.org/obo/MONDO_0000341,paralytic poliomyelitis,,14
http://purl.obolibrary.org/obo/MONDO_0000342,O'nyong'nyong fever,,14
http://purl.obolibrary.org/obo/MONDO_0000351,disorder of methionine catabolism,42,1769
http://purl.obolibrary.org/obo/MONDO_0000355,Ullrich congenital muscular dystrophy,56,2484
http://purl.obolibrary.org/obo/MONDO_0000358,orofacial cleft,434,4515
http://purl.obolibrary.org/obo/MONDO_0000359,spondylocostal dysostosis,98,2621
http://purl.obolibrary.org/obo/MONDO_0000365,primary congenital glaucoma,56,524
http://purl.obolibrary.org/obo/MONDO_0000367,taeniasis,,833
http://purl.obolibrary.org/obo/MONDO_0000368,extrapulmonary tuberculosis,,126
http://purl.obolibrary.org/obo/MONDO_0000369,abdominal tuberculosis,,14
http://purl.obolibrary.org/obo/MONDO_0000376,respiratory system cancer,238,418
http://purl.obolibrary.org/obo/MONDO_0000380,paranasal sinus carcinoma,42,
http://purl.obolibrary.org/obo/MONDO_0000383,benign reproductive system neoplasm,14,475
http://purl.obolibrary.org/obo/MONDO_0000385,benign digestive system neoplasm,,80
http://purl.obolibrary.org/obo/MONDO_0000386,"digestive system neuroendocrine tumor, grade 1/2",42,5982
http://purl.obolibrary.org/obo/MONDO_0000387,hypochromic microcytic anemia,28,805
http://purl.obolibrary.org/obo/MONDO_0000389,atelosteogenesis,42,3633
http://purl.obolibrary.org/obo/MONDO_0000390,vitelliform macular dystrophy,70,818
http://purl.obolibrary.org/obo/MONDO_0000396,spastic cerebral palsy,56,1175
http://purl.obolibrary.org/obo/MONDO_0000397,ataxic cerebral palsy,,112
http://purl.obolibrary.org/obo/MONDO_0000402,small cell carcinoma,56,118
http://purl.obolibrary.org/obo/MONDO_0000405,anal canal cancer,,849
http://purl.obolibrary.org/obo/MONDO_0000408,fetal alcohol spectrum disorder,,544
http://purl.obolibrary.org/obo/MONDO_0000421,inborn serine deficiency,98,6137
http://purl.obolibrary.org/obo/MONDO_0000425,X-linked disease,2030,136339
http://purl.obolibrary.org/obo/MONDO_0000426,autosomal dominant disease,7280,365035
http://purl.obolibrary.org/obo/MONDO_0000428,Y-linked disease,,79
http://purl.obolibrary.org/obo/MONDO_0000429,autosomal genetic disease,17822,764926
http://purl.obolibrary.org/obo/MONDO_0000430,mature T-cell and NK-cell non-Hodgkin lymphoma,140,
http://purl.obolibrary.org/obo/MONDO_0000432,lymphoplasmacytic lymphoma,14,877
http://purl.obolibrary.org/obo/MONDO_0000437,cerebellar ataxia,1708,96823
http://purl.obolibrary.org/obo/MONDO_0000447,autosomal dominant polycystic liver disease,56,649
http://purl.obolibrary.org/obo/MONDO_0000448,paraganglioma,98,2359
http://purl.obolibrary.org/obo/MONDO_0000453,short QT syndrome,70,579
http://purl.obolibrary.org/obo/MONDO_0000455,cone dystrophy,70,720
http://purl.obolibrary.org/obo/MONDO_0000456,cerebral creatine deficiency syndrome,42,2824
http://purl.obolibrary.org/obo/MONDO_0000462,eye adnexa disorder,280,15676
http://purl.obolibrary.org/obo/MONDO_0000463,Ochoa syndrome,28,588
http://purl.obolibrary.org/obo/MONDO_0000465,atrioventricular block,,605
http://purl.obolibrary.org/obo/MONDO_0000469,sinoatrial node disorder,56,789
http://purl.obolibrary.org/obo/MONDO_0000470,endocardium disorder,,272
http://purl.obolibrary.org/obo/MONDO_0000471,tricuspid valve disorder,28,1739
http://purl.obolibrary.org/obo/MONDO_0000473,arterial disorder,518,16250
http://purl.obolibrary.org/obo/MONDO_0000474,pericardium disorder,,28
http://purl.obolibrary.org/obo/MONDO_0000476,generalized dystonia,56,1112
http://purl.obolibrary.org/obo/MONDO_0000477,focal dystonia,42,1829
http://purl.obolibrary.org/obo/MONDO_0000478,multifocal dystonia,28,816
http://purl.obolibrary.org/obo/MONDO_0000479,segmental dystonia,14,283
http://purl.obolibrary.org/obo/MONDO_0000486,craniofacial dystonia,14,440
http://purl.obolibrary.org/obo/MONDO_0000489,diabetic encephalopathy,,14
http://purl.obolibrary.org/obo/MONDO_0000490,glomerulosclerosis,,818
http://purl.obolibrary.org/obo/MONDO_0000496,hemorrhagic cystitis,,14
http://purl.obolibrary.org/obo/MONDO_0000507,inclusion body myopathy with Paget disease of bone and frontotemporal dementia,42,2308
http://purl.obolibrary.org/obo/MONDO_0000508,syndromic intellectual disability,1428,181598
http://purl.obolibrary.org/obo/MONDO_0000509,non-syndromic intellectual disability,1946,55735
http://purl.obolibrary.org/obo/MONDO_0000510,synucleinopathy,112,3833
http://purl.obolibrary.org/obo/MONDO_0000514,bone squamous cell carcinoma,42,
http://purl.obolibrary.org/obo/MONDO_0000536,pharyngeal squamous cell carcinoma,84,
http://purl.obolibrary.org/obo/MONDO_0000568,autoimmune disorder of central nervous system,28,1314
http://purl.obolibrary.org/obo/MONDO_0000569,autoimmune disorder of endocrine system,42,10509
http://purl.obolibrary.org/obo/MONDO_0000577,congenital anemia,588,19314
http://purl.obolibrary.org/obo/MONDO_0000586,autoimmune disorder of exocrine system,,2936
http://purl.obolibrary.org/obo/MONDO_0000587,"autoimmune disease of ear, nose and throat",,1326
http://purl.obolibrary.org/obo/MONDO_0000588,autoimmune disorder of gastrointestinal tract,28,4508
http://purl.obolibrary.org/obo/MONDO_0000589,autoimmune disorder of musculoskeletal system,,1509
http://purl.obolibrary.org/obo/MONDO_0000590,autoimmune disorder of peripheral nervous system,56,1613
http://purl.obolibrary.org/obo/MONDO_0000591,intrinsic cardiomyopathy,3038,84858
http://purl.obolibrary.org/obo/MONDO_0000592,specific developmental disorder,,1093
