graph,Structural,Functional adequacy,Compatibility,Transferability,Operability,Reliability,Maintainability
assoc,4.053968253968255,3.6166666666666663,3.0,1.0,1.0,2.5,2.333333333333333
pheno,3.7682539682539686,3.1166666666666663,3.0,1.0,1.0,2.25,2.333333333333333
gene_pheno_nervous,3.93968253968254,3.7616666666666667,3.0,1.0,1.0,3.0,2.333333333333333
gene_pheno_human,3.93968253968254,3.736666666666667,3.0,1.0,1.0,3.0,2.333333333333333
complete,3.93968253968254,3.745,3.0,1.0,1.0,3.0,2.333333333333333
