graph,Annotation richness metric,Basic provenance metric,Classes per instance metric,Compatible datatype metric,Deprecated terms metric,Dereferenceable uris metric,Descriptions per instance metric,Different serialisation formats metric,Entities with no type metric,Evidence metric,Extensional conciseness metric,Human readable license metric,Instances with multiple types metric,Instances with no description metric,Instances with no name metric,Instances with no synonyms metric,Machine license metric,Misplaced class property metric,Misused properties metric,Multiple languages metric,Names per instance metric,Relations per node metric,Reuse terms metric,Synonyms per instance metric,Traceability of the data metric,Usage of undefined terms metric,Used vocabularies metric,Valid format metric
assoc,5.23250564334086,0,1.33408577878104,1,0,0.517241379310345,0.134687735139202,set(),0,0,0,False,0.334085778781038,0.865312264860798,0.493604213694507,0.510158013544018,False,0,0,0,1.17456734386757,10.9954853273138,0.848484848484849,3.92325056433409,1,0.00161786963102135,0,True
pheno,2.49272467902996,0,1,1,0,0.335960858929057,0.278174037089872,set(),0,0,0,False,0,0.721825962910128,0.696433666191156,0.748359486447931,False,0,0,0,0.303566333808845,14.0984308131241,0.861111111111111,1.91098430813124,0.966333808844508,0.000618721793565293,0,True
gene_pheno_nervous,7.9067320552831,0,1.16032099866251,1,0,0.998665599145983,0.674543022737405,set(),0,0,0,False,0.160320998662506,0.325456977262595,0.000178332590280874,0.19589835042354,False,0,0,0,1.32046366473473,6.52135532768613,0.923076923076923,5.91172536781097,0.918502006241641,0.000114524579837948,0,True
gene_pheno_human,7.72536079483646,0,1.15969250852129,1,0,0.999166847786713,0.635687867140474,set(),0,0,0,False,0.159692508521285,0.364312132859526,0.000362607875843063,0.207230401044311,False,0,0,0,1.31902240916673,6.56762636884473,0.928571428571429,5.77065051852926,0.895786496482704,4.54053298871852e-05,0,True
complete,6.94539527302364,0,1.14356968215159,1,0,0.898898250162022,0.571507742461288,set(),0,0,0,False,0.143569682151589,0.428492257538712,0.101287693561532,0.287269763651182,False,0,0,0,1.18585167074165,7.61659331703341,0.905660377358491,5.1880358598207,0.906308068459658,8.16461137250319e-05,0,True
