Metric,Result
Annotation properties metric,4.113733905579399
Basic provenance metric,0.0
Classes per instances metric,1.0
Compatible datatype metric,0.3471502590673575
Deprecated terms metric,0.0
Dereferenceable uris metric,0.8834913112164297
Descriptions per instance metric,0.5976394849785408
Serialization formats metric,set()
Entities with no type metric,0.723404255319149
Evidence metric,3.4206008583690988
Extensional conciseness metric,0.0
Human readable license metric,False
Instances with multiple types metric,0.0
Instances with no description metric,0.40236051502145925
Instances with no name metric,0.39914163090128757
Instances with no synonyms metric,0.9989270386266095
Machine license metric,False
Misplaced class property metric,0.0
Misused properties metric,0.0
Multiple languages metric,0.0
Names per instance,0.6008583690987125
Relation per node,3.590909090909091
Reuse terms metric,0.9916839916839917
Synonyms per instance metric,0.001072961373390558
Traceability of the data metric,0.0
Usage of undefined terms metric,0.0012796451117556731
Used vocabularies metric,0.0
Valid format metric,True
