characteristic;crm2tfac;crm2phen;crm2gene;crm;all
Structural;3,393650794;3,450793651;3,393650794;3,882539683;3,882539683
Functional adequacy;2,693333333;2,366666667;2,693333333;2,913333333;2,913333333
Compatibility;3;3;3;3;3
Transferability;1;1;1;1;1
Operability;1;1;1;1;1
Reliability;2;2;2;2;2
Maintainability;1,6666667;1,6666667;1,6666667;1,6666667;1,6666667
