Graph,Annotation properties metric,Basic provenance metric,Classes per instances metric,Compatible datatype metric,Deprecated terms metric,Dereferenceable uris metric,Descriptions per instance metric,Entities with no type metric,Evidence metric,Extensional conciseness metric,Human readable license metric,Instances with multiple types metric,Instances with no description metric,Instances with no name metric,Instances with no synonyms metric,Machine license metric,Misplaced class property metric,Misused properties metric,Multiple languages metric,Names per instance,Relation per node,Reuse terms metric,Serialization formats metric,Synonyms per instance metric,Traceability of the data metric,Usage of undefined terms metric,Used vocabularies metric,Valid format metric
crm2tfac,4.910944206008583,0.0,1.0,1.0,0.0,0.9996050552922591,0.9957081545064378,0.723404255319149,3.4206008583690988,0.0,False,0.0,0.004291845493562232,0,0.9989270386266095,False,0.0,0.0,0.0,1.0,3.9355287569573285,0.9916839916839917,set(),0.001072961373390558,0.0,0.0012033694344163659,0.0,True
crm2phen,1.9990497307570478,0.0,1.0,1.0,0.0,0.998533724340176,0.9990497307570478,0.40275229357798165,0.05701615457713019,0.0,False,0.0,0.0009502692429521698,0,1.0,False,0.0,0.0,0.0,1.0,5.104477611940299,0.9990237552879921,set(),0.0,0.0,0.00028083971073509796,0.0,True
crm2gene,2.6345905172413793,0.0,1.0,1.0,0.0,0.9084778890789152,0.999353448275862,0.6455621736892418,0.9875,0.0,False,0.0,0.000646551724137931,0,1.0,False,0.0,0.0,0.0,1.0,4.015006368015948,0.9993299084208175,set(),0.0,0.0,0.00019224607497596923,0.0,True
crm,4.015024719332578,0.0,1.0,1.0,0.0,0.9871138335272125,0.9997746935832732,0.02390592104443586,2.518127510557215,0.0,False,0.0,0.00022530641672674837,0,0.9999871253476156,False,0.0,0.0,0.0,1.0,7.899073526512911,0.9999220870287888,set(),1.2874652384385621e-05,0.0,1.20830975944685e-05,0.0,True
all,3.871503633835107,0.0,1.0,1.0,0.0,0.9882912894884502,0.999778885934236,0.07565296026384383,2.3501399419284636,0.0,False,0.0,0.0002211140657639782,0,0.999982543626387,False,0.0,0.0,0.0,1.0,7.621703321264136,0.9999294109342463,set(),1.7456373612945645e-05,0.0,1.5609360152815637e-05,0.0,True
