Graph,Formalisation,Structural accuracy,Consistency,Syntactic validity,Redundancy,Interpretability,Inference,Understandability,Trustworthiness,Provenance,Clustering,Interoperability,Versatility,Licensing,Accessibility,Reusability
crm2tfac,1.0,5.0,4.0,3.6666666666666665,5.0,3.6,2.8,4.0,3.0,1.0,3.1666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
crm2phen,1.0,5.0,4.142857142857143,3.6666666666666665,5.0,3.8,3.0,3.125,1.0,1.0,2.8333333333333335,3.0,1.0,1.0,2.0,1.6666666666666667
crm2gene,1.0,5.0,4.0,3.6666666666666665,5.0,3.6,2.8,3.25,1.5,1.0,2.5,3.0,1.0,1.0,2.0,1.6666666666666667
crm,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,3.375,2.5,1.0,3.6666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
all,1.0,5.0,4.428571428571429,3.6666666666666665,5.0,4.2,3.4,3.375,2.5,1.0,3.6666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
